ticket_id,region,state,site,subject,description,space,equipment,type,created_on,channel,issue_type,problem_category,problem_subcategory,ticket_state,priority,closed_time,maintenance_team,maintenance_type,ticket_action_type,block,sla_status,sla_end_date
BLRJIGTE-2306999,South,Texas,Austin South,Cleaning,Cleaning  in  Tower-4 / Lower Ground floor reception,Lower Ground  floor,,Asset,2023-08-13,Web,Complaint,Cleaning *,Floor/Carpet Cleaning*,Closed,Normal,2023-08-13,Jigini-Soft Service Team,Corrective,Proactive,T-4,Within SLA,2023-08-14
BLRJIGTE-2306998,South,Texas,Austin South,Cleaning,Cleaning  in Tower-4 / Lower Ground floor entrance,Lower Ground  floor,,Asset,2023-08-13,Web,Complaint,Cleaning *,Floor/Carpet Cleaning*,Closed,Normal,2023-08-13,Jigini-Soft Service Team,Corrective,Proactive,T-4,Within SLA,2023-08-14
BLRJIGTE-2306901,South,Texas,Austin South,Cleaning,Cleaning in Tower-1 / Floor-4 (T1) / Wing-A (T1) / Meeting Room,MR,,Asset,2023-08-10,Web,Complaint,Cleaning *,Floor/Carpet Cleaning*,Closed,Normal,2023-08-10,Jigini-Soft Service Team,Corrective,Proactive,W-A (T1),Within SLA,2023-08-11
BLRJIGTE-2306846,South,Texas,Austin South,Cleaning,Cleaning  in Common Cafeteria / Floor-1 / Gents Rest room,Gents Rest room,,Asset,2023-08-09,Web,Complaint,Cleaning *,Floor/Carpet Cleaning*,Closed,Normal,2023-08-09,Jigini-Soft Service Team,Corrective,Proactive,Com Cafe,Within SLA,2023-08-10
BLRJIGTE-2306844,South,Texas,Austin South,Cleaning,Cleaning  in Tower-4 / Ground Floor (T4) / Common Area,Common Area,,Asset,2023-08-09,Web,Complaint,Cleaning *,Floor/Carpet Cleaning*,Closed,Normal,2023-08-09,Jigini-Soft Service Team,Corrective,Proactive,T-4,Within SLA,2023-08-10
BLRJIGTE-2306843,South,Texas,Austin South,Cleaning,Cleaning   in Tower-4 / Floor-12 (T4) / Executive Area,Executive Area,,Asset,2023-08-09,Web,Complaint,Cleaning *,Floor/Carpet Cleaning*,Closed,Normal,2023-08-09,Jigini-Soft Service Team,Corrective,Proactive,T-4,Within SLA,2023-08-10
BLRJIGTE-2306793,South,Texas,Austin South,Cleaning,Cleaning   in Tower-1 / Ground Floor (T1) / Wing-A (T1) / Pantry,Pantry,,Asset,2023-08-08,Web,Complaint,Cleaning *,Floor/Carpet Cleaning*,Closed,Normal,2023-08-08,Jigini-Soft Service Team,Corrective,Proactive,W-A (T1),Within SLA,2023-08-09
BLRJIGTE-2306792,South,Texas,Austin South,Cleaning,Cleaning   in Main Gate 1 / Security Cabin,Security Cabin,,Asset,2023-08-08,Web,Complaint,Cleaning *,Floor/Carpet Cleaning*,Closed,Normal,2023-08-08,Jigini-Soft Service Team,Corrective,Proactive,Main Gate 1,Within SLA,2023-08-09
BLRJIGTE-2306791,South,Texas,Austin South,Cleaning,Cleaning   in Common Cafeteria / Floor-1 / Common Area,Common Area,,Asset,2023-08-08,Web,Complaint,Cleaning *,Floor/Carpet Cleaning*,Closed,Normal,2023-08-08,Jigini-Soft Service Team,Corrective,Proactive,Com Cafe,Within SLA,2023-08-09
BLRJIGTE-2306790,South,Texas,Austin South,Cleaning,Cleaning   in  Transport Yard / Ground Floor Pantry sink .,GF,,Asset,2023-08-08,Web,Complaint,Cleaning *,Floor/Carpet Cleaning*,Closed,Normal,2023-08-08,Jigini-Soft Service Team,Corrective,Proactive,Trans Yard,Within SLA,2023-08-09
BLRJIGTE-2306789,South,Texas,Austin South,Cleaning,Cleaning in Transport Yard / Ground Floor / Rest room.,Rest room,,Asset,2023-08-08,Web,Complaint,Cleaning *,Floor/Carpet Cleaning*,Closed,Normal,2023-08-08,Jigini-Soft Service Team,Corrective,Proactive,Trans Yard,Within SLA,2023-08-09
BLRJIGTE-2306745,South,Texas,Austin South,Cleaning,Cleaning Tower-3 / Floor-3 (T3) / Wing-A (T3) / Pantry,Pantry,,Asset,2023-08-07,Web,Complaint,Cleaning *,Chairs/Tables Not Cleaned*,Closed,Normal,2023-08-07,Jigini-Soft Service Team,Corrective,Proactive,W-A (T3),Within SLA,2023-08-08
BLRJIGTE-2306744,South,Texas,Austin South,Cleaning,Cleaning   in Tower-3 / Floor-4 (T3) / Wing-B (T3) passage area,W-B (T3),,Asset,2023-08-07,Web,Complaint,Cleaning *,Floor/Carpet Cleaning*,Closed,Normal,2023-08-07,Jigini-Soft Service Team,Corrective,Proactive,W-B (T3),Within SLA,2023-08-08
BLRJIGTE-2306743,South,Texas,Austin South,Cleaning,Cleaning   in Common Cafeteria / Floor-1 / Common Area,Common Area,,Asset,2023-08-07,Web,Complaint,Cleaning *,Floor/Carpet Cleaning*,Closed,Normal,2023-08-07,Jigini-Soft Service Team,Corrective,Proactive,Com Cafe,Within SLA,2023-08-08
BLRJIGTE-2306742,South,Texas,Austin South,Cleaning,Cleaning in Tower-3 / Floor-4 (T3) / Wing-B (T3) / Men's Washroom,Mens Wash room,,Asset,2023-08-07,Web,Complaint,Cleaning *,Floor/Carpet Cleaning*,Closed,Normal,2023-08-07,Jigini-Soft Service Team,Corrective,Proactive,W-B (T3),Within SLA,2023-08-08
BLRJIGTE-2306741,South,Texas,Austin South,Cleaning,Cleaning   in Main Gate 1 / Common Area visitor parking area,Common Area,,Asset,2023-08-07,Web,Complaint,Cleaning *,Floor/Carpet Cleaning*,Closed,Normal,2023-08-07,Jigini-Soft Service Team,Corrective,Proactive,Main Gate 1,Within SLA,2023-08-08
BLRJIGTE-2306737,South,Texas,Austin South,Cleaning,Cleaning   in Tower-2 / Ground Floor (T2) / BMS Room (T2),BMS Room (T2),,Asset,2023-08-05,Web,Complaint,Cleaning *,Floor/Carpet Cleaning*,Closed,Normal,2023-08-06,Jigini-Soft Service Team,Corrective,Proactive,T-2,Within SLA,2023-08-06
BLRJIGTE-2306736,South,Texas,Austin South,Cleaning,Cleaning   in Tower-2 / Ground Floor (T2) / Common Area,Common Area,,Asset,2023-08-05,Web,Complaint,Cleaning *,Floor/Carpet Cleaning*,Closed,Normal,2023-08-06,Jigini-Soft Service Team,Corrective,Proactive,T-2,Within SLA,2023-08-06
BLRJIGTE-2306735,South,Texas,Austin South,Cleaning,Cleaning   in Tower-2 / Ground Floor (T2) / UPS Room(T2),UPS Room(T2),,Asset,2023-08-05,Web,Complaint,Cleaning *,Floor/Carpet Cleaning*,Closed,Normal,2023-08-06,Jigini-Soft Service Team,Corrective,Proactive,T-2,Within SLA,2023-08-06
BLRJIGTE-2306734,South,Texas,Austin South,Cleaning,Cleaning   in Common Cafeteria / Ground Floor / Handwash Area,Handwash Area,,Asset,2023-08-05,Web,Complaint,Cleaning *,Sink Not Cleaned*,Closed,Normal,2023-08-06,Jigini-Soft Service Team,Corrective,Proactive,Com Cafe,Within SLA,2023-08-06
BLRJIGTE-2306733,South,Texas,Austin South,Cleaning,Cleaning   in Common Cafeteria / Ground Floor / Washing Area,Washing Area,,Asset,2023-08-05,Web,Complaint,Cleaning *,Cups/Glass Cleaning*,Closed,Normal,2023-08-06,Jigini-Soft Service Team,Corrective,Proactive,Com Cafe,Within SLA,2023-08-06
BLRJIGTE-2306710,South,Texas,Austin South,Cleaning,Cleaning in Tower-1 / Ground Floor (T1) / Wing-B (T1) / Men's Washroom,Mens Wash room,,Asset,2023-08-04,Web,Complaint,Cleaning *,Floor/Carpet Cleaning*,Closed,Normal,2023-08-04,Jigini-Soft Service Team,Corrective,Proactive,W-B (T1),Within SLA,2023-08-05
BLRJIGTE-2306709,South,Texas,Austin South,Cleaning,Cleaning in Tower-2 / Basement (T2) / Common Area water removing.,Common Area,,Asset,2023-08-04,Web,Complaint,Cleaning *,Floor/Carpet Cleaning*,Closed,Normal,2023-08-04,Jigini-Soft Service Team,Corrective,Proactive,T-2,Within SLA,2023-08-05
BLRJIGTE-2306708,South,Texas,Austin South,Cleaning,Cleaning   in Tower-3 / Floor-2 (T3) / Wing-B (T3) / Men's Washroom,Mens Wash room,,Asset,2023-08-04,Web,Complaint,Cleaning *,Floor/Carpet Cleaning*,Closed,Normal,2023-08-04,Jigini-Soft Service Team,Corrective,Proactive,W-B (T3),Within SLA,2023-08-05
BLRJIGTE-2306706,South,Texas,Austin South,Cleaning,Cleaning   in Tower-3 / Ground Floor (T3) / Common Area,Common Area,,Asset,2023-08-04,Web,Complaint,Cleaning *,Floor/Carpet Cleaning*,Closed,Normal,2023-08-04,Jigini-Soft Service Team,Corrective,Proactive,T-3,Within SLA,2023-08-05
BLRJIGTE-2306675,South,Texas,Austin South,Cleaning,Cleaning in Tower-3 / Floor-4 (T3) / Wing-A (T3) / Men's Washroom,Mens Wash room,,Asset,2023-08-03,Web,Complaint,Cleaning *,Floor/Carpet Cleaning*,Closed,Normal,2023-08-03,Jigini-Soft Service Team,Corrective,Proactive,W-A (T3),Within SLA,2023-08-04
BLRJIGTE-2306674,South,Texas,Austin South,Cleaning,Cleaning   in Tower-3 / Floor-4 (T3) / Wing-A (T3) / Men's Washroom,Mens Wash room,,Asset,2023-08-03,Web,Complaint,Cleaning *,Floor/Carpet Cleaning*,Closed,Normal,2023-08-03,Jigini-Soft Service Team,Corrective,Proactive,W-A (T3),Within SLA,2023-08-04
BLRJIGTE-2306673,South,Texas,Austin South,Cleaning,Cleaning in Tower-3 / Floor-5 (T3) / Passage Area,Passage Area,,Asset,2023-08-03,Web,Complaint,Cleaning *,Floor/Carpet Cleaning*,Closed,Normal,2023-08-03,Jigini-Soft Service Team,Corrective,Proactive,T-3,Within SLA,2023-08-04
BLRJIGTE-2306672,South,Texas,Austin South,Cleaning,Cleaning in Tower-3 / Floor-5 (T3) / Wing-B (T3) / ODC4,ODC4,,Asset,2023-08-03,Web,Complaint,Cleaning *,Floor/Carpet Cleaning*,Closed,Normal,2023-08-03,Jigini-Soft Service Team,Corrective,Proactive,W-B (T3),Within SLA,2023-08-04
BLRJIGTE-2306671,South,Texas,Austin South,Cleaning,Cleaning   in Tower-3 / Floor-5 (T3) / Wing-B (T3) / Men's Washroom,Mens Wash room,,Asset,2023-08-03,Web,Complaint,Cleaning *,Floor/Carpet Cleaning*,Closed,Normal,2023-08-03,Jigini-Soft Service Team,Corrective,Proactive,W-B (T3),Within SLA,2023-08-04
BLRJIGTE-2306655,South,Texas,Austin South,Cleaning,Cleaning   in Tower-3 / Floor-5 (T3) / Wing-B (T3) / Board Room,BR,,Asset,2023-08-02,Web,Complaint,Cleaning *,Floor/Carpet Cleaning*,Closed,Normal,2023-08-03,Jigini-Soft Service Team,Corrective,Proactive,W-B (T3),Within SLA,2023-08-03
BLRJIGTE-2306654,South,Texas,Austin South,Cleaning,Cleaning   in Tower-3 / Floor-5 (T3) / Wing-B (T3) / Ladies washroom,Ladies wash room,,Asset,2023-08-02,Web,Complaint,Cleaning *,Floor/Carpet Cleaning*,Closed,Normal,2023-08-03,Jigini-Soft Service Team,Corrective,Proactive,W-B (T3),Within SLA,2023-08-03
BLRHUBTE-2302675,South,Texas,Dallas West End,Need to bee clean cafitaria sink,Need to bee clean cafitaria sink,Cafeteria,,Asset,2023-09-27,Mobile_App,Request,Cleaning *,Sink Not Cleaned*,Closed,Normal,2023-09-27,Hubli-Soft Service Team,Corrective,Proactive,Building 2 Block B,Within SLA,2023-09-28
CHNCAMTE-2312939,South,Florida,Miami Central,Desk key return,I have to return the allocated desk keys,ODC,,Asset,2023-09-27,One_Campus,Request,Lock and key *,Open Lock*,Closed,Critical,2023-09-27,HCL CHN - Soft Service Team,Corrective,Reactive,RW,Within SLA,2023-09-27
PUNMGPTE-2303573,West,Arizona,Phoenix Scottsdale,Workstation repair,Need to be repair work station,ODC 5,,Asset,2023-09-22,One_Campus,Request,Fixtures & Fittings *,Railings*,Closed,High,2023-09-22,HCL PUN_MGP Electrical Team,Corrective,Reactive,WB,Within SLA,2023-09-23
HYDHTCTE-2305782,West,Arizona,Phoenix Midtown,Flush button damaged,Flush button damaged,GENTS REST ROOM-2,,Asset,2023-09-22,Mobile_App,Request,Plumbing*,Health - Faucet / Taps / Damage*,Closed,Normal,2023-09-22,? HITech- Plumber Team,Corrective,Proactive,H01B,Within SLA,2023-09-23
CHETA3TE-2308170,South,Florida,Miami Downtown,UGF 9 lRR Wash basin no:5 sensor not working,UGF 9 lRR Wash basin no:5 sensor not working,BLK2,,Asset,2023-09-27,Mobile_App,Request,Plumbing*,Water Taps Not Working*,Closed,Normal,2023-09-27,ETA3 Plumber Team,Corrective,Proactive,BLK2,Within SLA,2023-09-28
CHETA3TE-2308168,South,Florida,Miami Downtown,LGF 7 coffee machine near dustbin need to be clean,LGF 7 coffee machine near dustbin need to be clean,BLK2,,Asset,2023-09-27,Mobile_App,Request,Cleaning *,Special Clean*,Closed,High,2023-09-27,ETA3 Soft Service Team,Corrective,Proactive,BLK2,Within SLA,2023-09-28
CHNCAMTE-2312941,South,Florida,Miami Central,Electrical*,Lights Not Working in TOWER 5 / First Floor / Left Wing / 102A / W 21,ODC,,Asset,2023-09-27,Phone,Request,Electrical*,Lights Not Working / Flickering*,Closed,Normal,2023-10-09,HCL CHN - M&E Team,Corrective,Proactive,LW,Within SLA,2023-10-10
CHETA3TE-2307630,South,Florida,Miami Downtown,Inside scrap room floors need to cleaned yesterday scrap materials cleared from that room.,Inside scrap room floors need to cleaned yesterday scrap materials cleared from that room.,BLK3,,Asset,2023-09-20,Web,Request,Cleaning *,Floor/Carpet Cleaning*,Closed,Normal,2023-09-20,ETA3 Soft Service Team,Corrective,Proactive,BLK3,Within SLA,2023-09-21
MUMAIRTE2302680,West,California,Los Angeles Downtown,Carpet cleaning work,Carpet cleaning work,HCL Store Room,,Asset,2023-09-22,Mobile_App,Request,Cleaning *,Carpet*,Closed,High,2023-09-22,MUM_AIR - Soft Service Team,Corrective,Proactive,RTP,Within SLA,2023-09-23
BLRJIGTE-2308433,South,Texas,Austin South,Switch off the AC,"Request you kindly turn the AC off for the Tower 3, 3rd Floor ODC 3, Seat 03-W-68.",ODC 3,,Asset,2023-09-21,Email,Complaint,Air Condition*,Too Cool*,Closed,High,2023-09-21,Jigini-HVAC Team,Corrective,Proactive,W-B (T3),Within SLA,2023-09-22
CHNCAMTE-2312630,South,Florida,Miami Central,Air Condition*,"Feeling too cold, kindly Reduce the AC at TOWER 1 / Third Floor / Right Wing / 302-B / W 58",302-B,,Asset,2023-09-22,Phone,Request,Air Condition*,Too Cool*,Closed,High,2023-09-22,T1 - M&E Team,Corrective,Proactive,RW,Within SLA,2023-09-23
CHETA3TE-2308152,South,Florida,Miami Downtown,LGF ODC 7 near service room need to clean,LGF ODC 7 near service room need to clean,S SR,,Asset,2023-09-27,Mobile_App,Request,Cleaning *,Floor/Carpet Cleaning*,Closed,Normal,2023-09-27,ETA3 Soft Service Team,Corrective,Proactive,SW,Within SLA,2023-09-28
CHETA3TE-2308307,South,Florida,Miami Downtown,UGF odc -03 GRR EWC no-06 non stop water coming,UGF odc -03 GRR EWC no-06 non stop water coming,ODC-3,,Asset,2023-09-29,Mobile_App,Request,Plumbing*,Blockages/Clogs*,Closed,High,2023-09-29,ETA3 Soft Service Team,Corrective,Proactive,SW,Within SLA,2023-09-30
BLRGRTTE-2303174,South,Texas,Austin North,ODC 1 w 26 tabla plate down in fixed,ODC 1 w 26 tabla plate down in fixed,ODC1,,Asset,2023-09-22,Mobile_App,Request,CARPENTRY*,Table/Chairs/Desk/ Needs Repairs*,Closed,Normal,2023-09-22,BLR_GRTP - Soft Service Team,Corrective,Proactive,VB,Within SLA,2023-09-23
MDUSPATE-2302779,West,California,San Francisco Bay Area,Ground floor Car parking area conduit pipeline bell down,Ground floor Car parking area conduit pipeline bell down,MEL-2,,Asset,2023-09-21,Web,Request,Electrical*,Conduits*,Closed,Critical,2023-09-21,HCL MDU_SPA Electrical Team,Corrective,Proactive,SP A Tower,Within SLA,2023-09-21
CHNCAMTE-2312508,South,Florida,Miami Central,Pest Control*,"Mosquito problems in ODC , canÔø?t sit inside post evening time.Kindly take necessary action. /Chennai Campus-SDB2-Ground floor-G01",GF,,Asset,2023-09-21,Email,Complaint,Pest Control*,Pest/Rodent Noticed*,Closed,Normal,2023-10-09,HCL CHN - Soft Service Team,Corrective,Proactive,T2,SLA Elapsed,2023-09-22
BLRECOTE2303070,South,Texas,Dallas Downtown,LLR door beeding properly fixed,LLR door beeding properly fixed,F-4,,Asset,2023-09-22,Mobile_App,Request,CARPENTRY*,Door General*,Closed,Normal,2023-09-22,ECO-Soft Service Team,Corrective,Proactive,HCL - Sankalp ECO,Within SLA,2023-09-23
CHETA1TE-2304269,South,Florida,Miami Beach,Air Condition*,"Feeling too cold, kindly Reduce the AC at HCL CHN_ETA1 / Fourth Floor / Fourth Floor ( Left Wing ) / 402-B",ODC 402-B,,Asset,2023-09-27,Phone,Request,Air Condition*,Too Cool*,Closed,High,2023-09-27,ETA1 HVAC Team,Corrective,Proactive,F4 LW,Within SLA,2023-09-28
CHETA3TE-2308171,South,Florida,Miami Downtown,OSS break out WB no:1 sensor not working,OSS break out WB no:1 sensor not working,BLK3,,Asset,2023-09-27,Mobile_App,Request,Plumbing*,Water Taps Not Working*,Closed,Normal,2023-09-27,ETA3 Plumber Team,Corrective,Proactive,BLK3,Within SLA,2023-09-28
CHNCAMTE-2312938,South,Florida,Miami Central,Cleaning *,Desk Cleaning is Required in TOWER 4 / Third Floor / Left Wing / 301A / W 63,ODC,,Asset,2023-09-27,Phone,Request,Cleaning *,Furniture*,Closed,High,2023-09-27,HCL CHN - Soft Service Team,Corrective,Proactive,LW,Within SLA,2023-09-28
BLRHUBTE-2302544,South,Texas,Dallas West End,Need to bee refix switch plate,Need to bee refix switch plate,ODC-3,,Asset,2023-09-22,Mobile_App,Request,Electrical*,Light Switch*,Closed,Critical,2023-09-22,Hubli-Electrical Team,Corrective,Proactive,Building 2 Block B,Within SLA,2023-09-22
BLRMTPTE-2303242,South,Texas,Dallas Uptown,MTP-01-02-W-206 Ac grill issue,MTP-01-02-W-206 Ac grill issue,ODC2,,Asset,2023-09-20,Mobile_App,Request,Air Condition*,Indoor Air Quality*,Closed,High,2023-09-20,BLR_MTP HVAC Team,Corrective,Proactive,WA,Within SLA,2023-09-21
CHETA1TE-2304110,South,Florida,Miami Beach,hand wash gun not working no 3 East,hand wash gun not working no 3 East,GRR-1,,Asset,2023-09-22,Mobile_App,Request,Plumbing*,No Water*,Closed,Normal,2023-09-22,ETA1 Plumber Team,Corrective,Proactive,F5 LW,Within SLA,2023-09-23
CHNCAMTE-2312421,South,Florida,Miami Central,Switch on the AC,NO A/C in Chennai Sholinganallur Tower 2 - second floor - 202 A -near PM001 seat Ôø? please help as it is suffocating.,ODC,,Asset,2023-09-20,Email,Complaint,Air Condition*,After Hours Request*,Closed,High,2023-09-21,T2 - M&E Team,Corrective,Proactive,LW,Within SLA,2023-09-21
CHETA3TE-2307722,South,Florida,Miami Downtown,AC Issue - Feeling Too Warm,"Feeling too warm , Kindly increase the AC at LGF/ ODC 20A/ W-13",LGF B1,,Asset,2023-09-21,Phone,Complaint,Air Condition*,Too Warm*,Closed,High,2023-09-21,ETA3 HVAC Team,Corrective,Proactive,BLK3,Within SLA,2023-09-22
CHNOZOTE-2302914,South,Florida,Miami South,SE GRR Urinal - 3 sensor adaptor not working,SE GRR Urinal - 3 sensor adaptor not working,GRR-2,,Asset,2023-07-04,Mobile_App,Request,Plumbing*,Urinal Sensor*,Closed,Normal,2023-07-04,Ozone Plumber Team,Corrective,Proactive,5F (LW),Within SLA,2023-07-05
MDUELCTE-2306116,West,California,San Francisco Downtown,Urinal sensor not working,Urinal sensor not working,GENTS REST ROOM,,Asset,2023-09-22,Mobile_App,Request,Plumbing*,Urinal Sensor*,Closed,Normal,2023-09-29,MDU-Plumber Team,Corrective,Proactive,Tower3,Within SLA,2023-09-23
CHNCAMTE-2312427,South,Florida,Miami Central,"52W PPM, W37, DG-14 primary pump, Subsatation-2","52W PPM, W37, DG-14 primary pump, Subsatation-2",Chiller Room,,Asset,2023-09-20,Web,Request,Electrical*,Breakers*,Closed,Critical,2023-09-20,Substation2 - M&E Team,Corrective,Proactive,Substation2,Within SLA,2023-09-20
CHNCAMTE-2312629,South,Florida,Miami Central,AC Issue - Feeling Too Cold,"Feeling too cold , Kindly Reduce the AC at TOWER 1 / Third Floor / Right Wing / 302-B /W-79",302-B,,Asset,2023-09-22,Phone,Complaint,Air Condition*,Too Cool*,Closed,High,2023-09-22,T1 - M&E Team,Corrective,Proactive,RW,Within SLA,2023-09-23
VIJSEZTE-2305877,South,Tennessee,Nashville Green Hills,SM cabin cleaning,SM cabin cleaning,F3,,Asset,2023-10-10,Mobile_App,Request,Cleaning *,Special Clean*,Closed,High,2023-10-10,VIJ_SEZ-Soft Service Team,Corrective,Proactive,MEDHA TOWER,Within SLA,2023-10-11
PUNDQRTE2303235,South,Tennessee,Nashville Downtown,80- kva poor air circulation,80- kva poor air circulation,UPS R-1,,Asset,2023-09-29,Mobile_App,Request,Air Condition*,Poor Air Circulation*,Closed,Normal,2023-09-29,Quadra- M&Eteam,Corrective,Proactive,Qdra,Within SLA,2023-09-30
BLRJIGTE-2308434,South,Texas,Austin South,AC Issue - Feeling Too Warm,"Feeling too warm, Kindly increase the AC at Tower-4 / Floor-4 (T4) / Wing-A (T4) / ODC 2 /W-73",ODC 2,,Asset,2023-09-21,Phone,Complaint,Air Condition*,Too Warm*,Closed,High,2023-09-21,Jigini-HVAC Team,Corrective,Proactive,W-A (T4),Within SLA,2023-09-22
CHETA1TE-2304107,South,Florida,Miami Beach,To be Clean the floor stains from 3rd floor West GRR EWC wood partician under,To be Clean the floor stains from 3rd floor West GRR EWC wood partician under,F3,,Asset,2023-09-22,Mobile_App,Request,Cleaning *,After Hours Request*,Closed,High,2023-09-22,ETA1 Soft Service team,Corrective,Proactive,Block 1,Within SLA,2023-09-23
CHETA3TE-2308154,South,Florida,Miami Downtown,LGF cafe GRR wash basin no -10 water not working,LGF cafe GRR wash basin no -10 water not working,GRR,,Asset,2023-09-27,Mobile_App,Request,Plumbing*,No Water*,Closed,Normal,2023-09-27,ETA3 Plumber Team,Corrective,Proactive,SW,Within SLA,2023-09-28
CHNCAMTE-2313103,South,Florida,Miami Central,DG-14 Crank shaft speed sensor alarm observed,DG-14 Crank shaft speed sensor alarm observed,DG Room,,Asset,2023-09-29,Web,Request,Electrical*,Generator*,On Hold,Critical,,HCL CHN - M&E Team,Corrective,Proactive,Substation2,Within SLA,2023-09-29
CHETA3TE-2308391,South,Florida,Miami Downtown,All area water dispenser weekand deep cleaning activities,All area water dispenser weekand deep cleaning activities,BLK2,,Asset,2023-10-01,Mobile_App,Request,Cleaning *,Special Clean*,Closed,High,2023-10-01,ETA3 Soft Service Team,Corrective,Proactive,BLK2,Within SLA,2023-10-02
BLRJIGTE-2309109,South,Texas,Austin South,Switch on the AC,Kindly switch on the AC at Tower-4 / Floor-4 (T4) / Wing-C (T4) / ODC 6B /W-41,ODC 6B,,Asset,2023-10-05,Phone,Complaint,Air Condition*,After Hours Request*,Closed,High,2023-10-05,Jigini-HVAC Team,Corrective,Proactive,W-C (T4),Within SLA,2023-10-06
BLRJIGTE-2308846,South,Texas,Austin South,Switch on the AC,It is suffocating inside ODC. Kindly switch on the AC at Tower-1 / Floor-4 (T1) / Wing-A (T1) / ODC 3B,ODC 3B,,Asset,2023-10-02,Email,Complaint,Air Condition*,After Hours Request*,Closed,High,2023-10-02,Jigini-HVAC Team,Corrective,Proactive,W-A (T1),Within SLA,2023-10-03
PUNMGPTE-2303516,West,Arizona,Phoenix Scottsdale,Cafeteria ceiling tiles replace,Cafeteria ceiling tiles replace,Cafeteria,,Asset,2023-09-20,Mobile_App,Request,CARPENTRY*,Ceiling Tiles Missing / Broken*,Closed,Normal,2023-09-20,HCL PUN_MGP - M&E Team,Corrective,Proactive,WB,Within SLA,2023-09-21
CHNOZOTE-2304822,South,Florida,Miami South,Found stains in the tile and edges of the tiles need to have deep cleaning.,Found stains in the tile and edges of the tiles need to have deep cleaning.,GRR-3,,Asset,2023-09-22,Web,Request,Cleaning *,Floor/Carpet Cleaning*,Closed,Normal,2023-09-25,Ozone Soft Service Team,Corrective,Proactive,6F (RW),SLA Elapsed,2023-09-23
CHETA3TE-2308156,South,Florida,Miami Downtown,LGF odc -07 GRR EWC no-03 wc connting Hose water leakage,LGF odc -07 GRR EWC no-03 wc connting Hose water leakage,GRR,,Asset,2023-09-27,Mobile_App,Request,Plumbing*,No Water*,Closed,Normal,2023-09-27,ETA3 Plumber Team,Corrective,Proactive,SW,Within SLA,2023-09-28
CHETA3TE-2308308,South,Florida,Miami Downtown,"Lgf odc 03 LRR Wash basin no:03,08 water not come","Lgf odc 03 LRR Wash basin no:03,08 water not come",BLK2,,Asset,2023-09-29,Mobile_App,Request,Plumbing*,Blockages/Clogs*,Closed,High,2023-09-29,ETA3 Plumber Team,Corrective,Proactive,BLK2,Within SLA,2023-09-30
CHNCAMTE-2313221,South,Florida,Miami Central,Lift panel - 5F Electrical-2 -40 week ppm work,Lift panel - 5F Electrical-2 -40 week ppm work,T1,,Asset,2023-10-02,Web,Request,Electrical*,Power Outage*,Closed,Normal,2023-10-02,T1 - M&E Team,Corrective,Proactive,T1,Within SLA,2023-10-03
CHETA3TE-2308393,South,Florida,Miami Downtown,All area steel polish fixture weekand deep cleaning activities,All area steel polish fixture weekand deep cleaning activities,BLK2,,Asset,2023-10-01,Mobile_App,Request,Cleaning *,Special Clean*,Closed,High,2023-10-01,ETA3 Soft Service Team,Corrective,Proactive,BLK2,Within SLA,2023-10-02
BLRJIGTE-2306652,South,Texas,Austin South,Cleaning,Cleaning in Tower-3 / Floor-5 (T3) / Wing-B (T3) / Men's Washroom,Mens Wash room,,Asset,2023-08-02,Web,Complaint,Cleaning *,Floor/Carpet Cleaning*,Closed,Normal,2023-08-03,Jigini-Soft Service Team,Corrective,Proactive,W-B (T3),Within SLA,2023-08-03
BLRJIGTE-2306651,South,Texas,Austin South,Cleaning,Cleaning in Tower-3 / Floor-5 (T3) / Wing-B (T3) / ODC4,ODC4,,Asset,2023-08-02,Web,Complaint,Cleaning *,Floor/Carpet Cleaning*,Closed,Normal,2023-08-03,Jigini-Soft Service Team,Corrective,Proactive,W-B (T3),Within SLA,2023-08-03
BLRJIGTE-2306537,South,Texas,Austin South,Cleaning,Cleaning   in Tower-3 / Floor-5 (T3) / Passage Area,Passage Area,,Asset,2023-08-01,Web,Complaint,Cleaning *,Floor/Carpet Cleaning*,Closed,Normal,2023-08-01,Jigini-Soft Service Team,Corrective,Proactive,T-3,Within SLA,2023-08-02
BLRJIGTE-2306536,South,Texas,Austin South,Cleaning,Cleaning in Tower-3 / Ground Floor (T3) / Common Area,Common Area,,Asset,2023-08-01,Web,Complaint,Cleaning *,Floor/Carpet Cleaning*,Closed,Normal,2023-08-01,Jigini-Soft Service Team,Corrective,Proactive,T-3,Within SLA,2023-08-02
BLRJIGTE-2306534,South,Texas,Austin South,Cleaning,Cleaning in Main Gate 1 / Ground Floor / Reception,Reception,,Asset,2023-08-01,Web,Complaint,Cleaning *,Floor/Carpet Cleaning*,Closed,Normal,2023-08-01,Jigini-Soft Service Team,Corrective,Proactive,Main Gate 1,Within SLA,2023-08-02
BLRJIGTE-2306533,South,Texas,Austin South,Cleaning,Cleaning in Main Gate 1 / Common Area,Common Area,,Asset,2023-08-01,Web,Complaint,Cleaning *,Floor/Carpet Cleaning*,Closed,Normal,2023-08-01,Jigini-Soft Service Team,Corrective,Proactive,Main Gate 1,Within SLA,2023-08-02
